player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Riccardo Saponara,ITA,27,Serie A,2000000,0.0,2,,,
Ismail Jakobs,GER,19,Bundesliga,2000000,0.22,4,,,
Trent Alexander-Arnold,ENG,20,Premier League,99000000,0.48,5,,,
Timothy Chandler,USA,29,Bundesliga,2000000,0.44,4,,,
Pavel KadeĹ™Ăˇbek,CZE,27,Bundesliga,10000000,0.32,2,,,
Isaac Lihadji,FRA,17,Ligue 1,3000000,0.0,0,,,
Lucas TorrĂł,ESP,25,Bundesliga,2000000,0.0,6,,,
Karim Bellarabi,GER,29,Bundesliga,12000000,0.63,2,,,
JoĂŁo Victor Santos SĂˇ,BRA,25,Bundesliga,3500000,0.22,4,,,
Petar Skuletic,SRB,29,Ligue 1,500,0.0,0,,,
Espeto,BRA,22,Serie A,3000000,0.13,10,,,
Mathieu Bodmer,FRA,36,Ligue 1,25000,1.02,1,,,
Mason Holgate,ENG,22,Premier League,13000000,0.13,5,,,
Anthony Limbombe,BEL,25,Ligue 1,4000000,0.6,0,,,
Michael McGovern,NIR,35,Premier League,30000,0.0,0,,,
Harvey Barnes,ENG,21,Premier League,17000000,0.61,0,,,
Kwon Chang-hoon,KOR,25,Bundesliga,2800000,0.27,0,,,
Andre-Frank Zambo Anguissa,CMR,23,La Liga,20000000,0.07,6,,,
Iago HerrerĂ­n,ESP,31,La Liga,2000000,0.0,0,,,
Nico Schlotterbeck,GER,19,Bundesliga,4000000,0.0,0,,,
TomĂˇĹˇ SouÄŤek,CZE,24,Premier League,20000000,0.26,0,,,
Marko GrujiÄ‡,SRB,23,Bundesliga,14500000,0.19,9,,,
Thiago Maia,BRA,22,Ligue 1,3000000,0.0,0,,,
Lukas KlĂĽnter,GER,23,Bundesliga,4000000,0.1,5,,,
Sandro Tonali,ITA,19,Serie A,31000000,0.24,9,,,
IsmaĂ«l Bennacer,ALG,21,Serie A,17000000,0.04,14,,,
Cristiano Piccini,ITA,26,La Liga,6000000,0.0,0,,,
RubĂ©n GarcĂ­a,ESP,26,La Liga,20000,0.41000000000000003,6,,,
Bruno Soriano,ESP,35,La Liga,47500,0.0,1,,,
FabiĂˇn Balbuena,PAR,27,Premier League,9000000,0.08,2,,,
Curtis Jones,ENG,18,Premier League,1000000,0.71,0,,,
RĂşben Vinagre,POR,20,Premier League,9000000,0.0,1,,,
Jon Pacheco,ESP,18,La Liga,20000,0.0,0,,,
Theodor Gebre Selassie,CZE,32,Bundesliga,1000000,0.14,2,,,
David GarcĂ­a,ESP,25,La Liga,2000000,0.0,7,,,
Mathias Pereira Lage,POR,22,Ligue 1,2000000,0.24,2,,,
Sebastiano Esposito,ITA,17,Serie A,9000000,0.45,2,,,
Scott McTominay,SCO,22,Premier League,22000000,0.25,2,,,
Exequiel Palacios,ARG,20,Bundesliga,22000000,0.0,0,,,
Jean-KĂ©vin Augustin,FRA,22,Ligue 1,9000000,0.0,0,,,
Claudio Bravo,CHI,36,Premier League,1000000,0.0,0,,,
Elvis RexhbeĂ§aj,GER,21,Bundesliga,4000000,0.43,3,,,
Phil Bardsley,SCO,34,Premier League,80000,0.05,6,,,
Serge Aurier,CIV,26,Premier League,16000000,0.2,5,,,
Alex Ferrari,ITA,25,Serie A,2000000,0.0,4,,,
Roberto Inglese,ITA,27,Serie A,12000000,0.47,1,,,
Yerry Mina,COL,24,Premier League,20000000,0.12,3,,,
Cengiz Ăśnder,TUR,22,Serie A,24000000,0.31,2,,,
Francesco Magnanelli,ITA,34,Serie A,65000,0.0,5,,,
Zinedine Ferhat,ALG,26,Ligue 1,2000000,0.28,1,,,
Chema,ESP,27,La Liga,1000000,0.0,4,,,
Paulinho,BRA,19,Bundesliga,13500000,1.48,1,,,
Javier AvilĂ©s,ESP,21,La Liga,300000,0.98,1,,,
Matthew Longstaff,ENG,19,Premier League,3000000,0.31,1,,,
Fabio Borini,ITA,28,Serie A,4000000,0.0,1,,,
Dani GarcĂ­a,ESP,29,La Liga,4000000,0.03,11,,,
Vincent Pajot,FRA,28,Ligue 1,1000000,0.8,0,,,
GaĂ«l Kakuta,COD,28,Ligue 1,2000000,0.31,4,,,
StĂ©phane Bahoken,CMR,27,Ligue 1,4000000,0.4,3,,,
Florin Andone,ROU,26,Premier League,3000000,1.23,1,,,
JosĂ© Antonio MartĂ­nez Gil,ESP,26,La Liga,1200000,0.08,0,,,
Fabien Centonze,FRA,23,Ligue 1,4000000,0.11,3,,,
Victor Moses,NGA,28,Serie A,6000000,0.64,1,,,
Youssouf Fofana,FRA,20,Ligue 1,11000000,0.09,0,,,
ClĂ©ment Grenier,FRA,28,Ligue 1,5000000,0.11,2,,,
Felipe dal Belo,BRA,35,Serie A,300,0.0,5,,,
Mattia De Sciglio,ITA,26,Serie A,9000000,0.0,1,,,
Opa Nguette,SEN,25,Ligue 1,2000000,0.35,1,,,
DuĹˇan VlahoviÄ‡,SRB,19,Serie A,16000000,0.36,5,,,
RaĂşl Navas,ESP,31,La Liga,1000000,0.0,2,,,
Frenkie de Jong,NED,22,La Liga,72000000,0.18,4,,,
Dario Maresic,AUT,19,Ligue 1,2000000,0.0,0,,,
Yan Valery,FRA,20,Premier League,6000000,0.0,1,,,
Felipe Curcio,BRA,26,Serie A,30000,0.0,0,,,
Josh Maja,NGA,20,Ligue 1,6500000,0.97,0,,,
Leonardo Spinazzola,ITA,26,Serie A,14000000,0.18,2,,,
Steven Alzate,COL,20,Premier League,2000000,0.0,1,,,
AndrĂ© Silva,POR,23,Serie A,16000000,0.0,1,,,
Matthias Bader,GER,22,Bundesliga,40000,0.0,0,,,
Sergio Escudero,ESP,29,La Liga,4000000,0.12,2,,,
Marcel Risse,GER,29,Bundesliga,1000000,1.36,1,,,
Cristian Benavente,PER,25,Ligue 1,3000000,0.26,0,,,
Birkir Bjarnason,ISL,31,Serie A,80000,0.11,1,,,
Diego LĂłpez,ESP,37,La Liga,80000,0.0,6,,,
Luigi Sepe,ITA,28,Serie A,4000000,0.0,1,,,
Juan Jesus,BRA,28,Serie A,3500000,0.0,2,,,
Marc Cardona,ESP,24,La Liga,1000000,0.39,1,,,
Raphael Framberger,GER,23,Bundesliga,1000000,0.15,3,,,
JoĂŁo FĂ©lix,POR,19,La Liga,81000000,0.36,6,,,
FayĂ§al Fajr,MAR,30,La Liga,3000000,0.0,2,,,
Simon Terodde,GER,31,Bundesliga,2000000,0.44,4,,,
Jonathan Burkardt,GER,19,Bundesliga,1000000,0.36,0,,,
AntonĂ­n BarĂˇk,CZE,24,Serie A,8000000,0.0,1,,,
Marco Richter,GER,21,Bundesliga,8000000,0.28,2,,,
Esteban Burgos,ARG,27,La Liga,72500,0.08,3,,,
Wesley Lautoa,NCL,31,Ligue 1,1000000,0.05,3,,,
Antonin Bobichon,FRA,23,Ligue 1,2000000,0.0,0,,,
David Silva,ESP,33,Premier League,12000000,0.79,0,,,
Steven Nzonzi,FRA,30,Ligue 1,11000000,0.0,0,,,
Remi Oudin,FRA,22,Ligue 1,7000000,0.32,1,,,
Jamilu Collins,NGA,24,Bundesliga,2000000,0.1,10,,,
Jan Vertonghen,BEL,32,Premier League,14000000,0.1,2,,,
Mamadou Sakho,FRA,29,Premier League,9000000,0.0,2,,,
Karim Onisiwo,AUT,27,Bundesliga,3000000,0.52,3,,,
Ridle Baku,GER,21,Bundesliga,5000000,0.15,6,,,
Andrea Masiello,ITA,33,Serie A,1000000,0.07,4,,,
Kai PrĂ¶ger,GER,27,Bundesliga,1000000,0.35,0,,,
Luca Tremolada,ITA,27,Serie A,72500,0.0,0,,,
Davie Selke,GER,24,Bundesliga,8000000,0.18,3,,,
Ayoze PĂ©rez,ESP,26,Premier League,24000000,0.54,0,,,
Kasper Schmeichel,DEN,32,Premier League,9000000,0.0,2,,,
Ălvaro Vadillo,ESP,24,La Liga,2000000,0.29000000000000004,0,,,
Glenn Murray,ENG,35,Premier League,1000000,0.22,0,,,
Stefan SaviÄ‡,MNE,28,La Liga,20000000,0.0,6,,,
Tyrone Mings,ENG,26,Premier League,22000000,0.12,7,,,
Denilho Cleonise,NED,17,Serie A,1000000,0.0,2,,,
Rodrigo TarĂ­n,ESP,23,La Liga,1200000,0.0,1,,,
Davy PrĂ¶pper,NED,27,Premier League,13000000,0.09,4,,,
Bryan,ESP,18,La Liga,9000000,0.16,2,,,
Dominick Drexler,GER,29,Bundesliga,3000000,0.4,5,,,
GaĂ«tan Bong,CMR,31,Premier League,80000,0.0,0,,,
Federico Dimarco,ITA,21,Serie A,4000000,0.0,0,,,
Yann Karamoh,FRA,21,Serie A,9000000,0.32,0,,,
Moi GĂłmez,ESP,25,La Liga,4000000,0.35,1,,,
Fernando Llorente,ESP,34,Serie A,4000000,0.72,1,,,
Guido RodrĂ­guez,ARG,25,La Liga,8000000,0.1,5,,,
Matthijs de Ligt,NED,19,Serie A,67000000,0.15,5,,,
Ilija Nestorovski,MKD,29,Serie A,2000000,0.29000000000000004,4,,,
Diogo Dalot,POR,20,Premier League,18000000,0.0,0,,,
Miguel MarĂ­,ESP,22,La Liga,25000,0.0,0,,,
