player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Riccardo Saponara,ITA,27,Serie A,2000000,0.0,2,6.55,,
Ismail Jakobs,GER,19,Bundesliga,2000000,0.22,4,6.5,,
Trent Alexander-Arnold,ENG,20,Premier League,99000000,0.48,5,7.29,,
Timothy Chandler,USA,29,Bundesliga,2000000,0.44,4,5.72,,
Pavel KadeĹ™Ăˇbek,CZE,27,Bundesliga,10000000,0.32,2,6.3,,
Isaac Lihadji,FRA,17,Ligue 1,3000000,0.0,0,6.19,,
Lucas TorrĂł,ESP,25,Bundesliga,2000000,0.0,6,6.66,,
Karim Bellarabi,GER,29,Bundesliga,12000000,0.63,2,6.2,,
JoĂŁo Victor Santos SĂˇ,BRA,25,Bundesliga,3500000,0.22,4,6.0,,
Petar Skuletic,SRB,29,Ligue 1,500,0.0,0,6.3,,
Espeto,BRA,22,Serie A,3000000,0.13,10,6.33,,
Mathieu Bodmer,FRA,36,Ligue 1,25000,1.02,1,7.08,,
Mason Holgate,ENG,22,Premier League,13000000,0.13,5,6.57,,
Anthony Limbombe,BEL,25,Ligue 1,4000000,0.6,0,6.23,,
Michael McGovern,NIR,35,Premier League,30000,0.0,0,6.75,,
Harvey Barnes,ENG,21,Premier League,17000000,0.61,0,6.81,,
Kwon Chang-hoon,KOR,25,Bundesliga,2800000,0.27,0,6.64,,
Andre-Frank Zambo Anguissa,CMR,23,La Liga,20000000,0.07,6,6.56,,
Iago HerrerĂ­n,ESP,31,La Liga,2000000,0.0,0,6.35,,
Nico Schlotterbeck,GER,19,Bundesliga,4000000,0.0,0,5.9,,
TomĂˇĹˇ SouÄŤek,CZE,24,Premier League,20000000,0.26,0,6.31,,
Marko GrujiÄ‡,SRB,23,Bundesliga,14500000,0.19,9,6.56,,
Thiago Maia,BRA,22,Ligue 1,3000000,0.0,0,6.5,,
Lukas KlĂĽnter,GER,23,Bundesliga,4000000,0.1,5,6.3,,
Sandro Tonali,ITA,19,Serie A,31000000,0.24,9,6.53,,
IsmaĂ«l Bennacer,ALG,21,Serie A,17000000,0.04,14,6.49,,
Cristiano Piccini,ITA,26,La Liga,6000000,0.0,0,6.47,,
RubĂ©n GarcĂ­a,ESP,26,La Liga,20000,0.41,6,6.44,,
Bruno Soriano,ESP,35,La Liga,47500,0.0,1,6.11,,
FabiĂˇn Balbuena,PAR,27,Premier League,9000000,0.08,2,6.26,,
Curtis Jones,ENG,18,Premier League,1000000,0.71,0,6.72,,
RĂşben Vinagre,POR,20,Premier League,9000000,0.0,1,6.36,,
Jon Pacheco,ESP,18,La Liga,20000,0.0,0,6.5,,
Theodor Gebre Selassie,CZE,32,Bundesliga,1000000,0.14,2,6.49,,
David GarcĂ­a,ESP,25,La Liga,2000000,0.0,7,6.08,,
Mathias Pereira Lage,POR,22,Ligue 1,2000000,0.24,2,6.34,,
Sebastiano Esposito,ITA,17,Serie A,9000000,0.45,2,7.03,,
Scott McTominay,SCO,22,Premier League,22000000,0.25,2,6.25,,
Exequiel Palacios,ARG,20,Bundesliga,22000000,0.0,0,6.3,,
Jean-KĂ©vin Augustin,FRA,22,Ligue 1,9000000,0.0,0,6.24,,
Claudio Bravo,CHI,36,Premier League,1000000,0.0,0,6.42,,
Elvis RexhbeĂ§aj,GER,21,Bundesliga,4000000,0.43,3,6.12,,
Phil Bardsley,SCO,34,Premier League,80000,0.05,6,6.4,,
Serge Aurier,CIV,26,Premier League,16000000,0.2,5,6.68,,
Alex Ferrari,ITA,25,Serie A,2000000,0.0,4,6.51,,
Roberto Inglese,ITA,27,Serie A,12000000,0.47,1,6.67,,
Yerry Mina,COL,24,Premier League,20000000,0.12,3,6.85,,
Cengiz Ăśnder,TUR,22,Serie A,24000000,0.31,2,6.47,,
Francesco Magnanelli,ITA,34,Serie A,65000,0.0,5,6.44,,
Zinedine Ferhat,ALG,26,Ligue 1,2000000,0.28,1,6.18,,
Chema,ESP,27,La Liga,1000000,0.0,4,6.55,,
Paulinho,BRA,19,Bundesliga,13500000,1.48,1,6.6,,
Javier AvilĂ©s,ESP,21,La Liga,300000,0.98,1,6.42,,
Matthew Longstaff,ENG,19,Premier League,3000000,0.31,1,6.91,,
Fabio Borini,ITA,28,Serie A,4000000,0.0,1,6.37,,
Dani GarcĂ­a,ESP,29,La Liga,4000000,0.03,11,6.4,,
Vincent Pajot,FRA,28,Ligue 1,1000000,0.8,0,6.57,,
GaĂ«l Kakuta,COD,28,Ligue 1,2000000,0.31,4,6.42,,
StĂ©phane Bahoken,CMR,27,Ligue 1,4000000,0.4,3,6.66,,
Florin Andone,ROU,26,Premier League,3000000,1.23,1,5.44,,
JosĂ© Antonio MartĂ­nez Gil,ESP,26,La Liga,1200000,0.08,0,6.33,,
Fabien Centonze,FRA,23,Ligue 1,4000000,0.11,3,6.11,,
Victor Moses,NGA,28,Serie A,6000000,0.64,1,6.42,,
Youssouf Fofana,FRA,20,Ligue 1,11000000,0.09,0,5.89,,
ClĂ©ment Grenier,FRA,28,Ligue 1,5000000,0.11,2,6.36,,
